'White', 'Black', 'Date', 'HalfMoves', 'Moves', 'Result', 'WhiteElo', 'BlackElo', 'GameNumber', 'Event', 'Site', 'EventDate', 'Round', 'ECO', 'Opening'
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1889.02.24', '140', '70', 'Draw', '0', '0', '37', 'World Championship 2nd', 'Havana CUB', '1889.01.20', '17', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Gunsberg  Isidor A', '1890.12.09', '50', '25', 'Draw', '0', '0', '38', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '1', 'D35', "Queen's Gambit Declined"
'Gunsberg  Isidor A', 'Steinitz  Wilhelm', '1890.12.11', '78', '39', 'Black', '0', '0', '39', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '2', 'C62', 'Ruy Lopez, Old Steinitz Defense'
'Steinitz  Wilhelm', 'Gunsberg  Isidor A', '1890.12.13', '54', '27', 'Draw', '0', '0', '40', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '3', 'D31', "Queen's Gambit Declined"
'Gunsberg  Isidor A', 'Steinitz  Wilhelm', '1890.12.15', '113', '56', 'White', '0', '0', '41', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '4', 'C50', 'Giuoco Piano'
'Steinitz  Wilhelm', 'Gunsberg  Isidor A', '1890.12.18', '50', '25', 'Black', '0', '0', '42', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '5', 'D20', "Queen's Gambit Accepted"
'Gunsberg  Isidor A', 'Steinitz  Wilhelm', '1890.12.20', '86', '43', 'Black', '0', '0', '43', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '6', 'D05', "Queen's Pawn Game"
'Steinitz  Wilhelm', 'Gunsberg  Isidor A', '1890.12.22', '55', '27', 'White', '0', '0', '44', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '7', 'E51', 'Nimzo-Indian, 4.e3'
'Gunsberg  Isidor A', 'Steinitz  Wilhelm', '1890.12.27', '71', '35', 'Draw', '0', '0', '45', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '8', 'C54', 'Giuoco Piano'
'Steinitz  Wilhelm', 'Gunsberg  Isidor A', '1890.12.29', '159', '79', 'Draw', '0', '0', '46', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '9', 'D30', "Queen's Gambit Declined"
'Gunsberg  Isidor A', 'Steinitz  Wilhelm', '1891.01.02', '86', '43', 'Black', '0', '0', '47', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '10', 'C54', 'Giuoco Piano'
'Steinitz  Wilhelm', 'Gunsberg  Isidor A', '1891.01.03', '57', '28', 'Draw', '0', '0', '48', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '11', 'D40', "Queen's Gambit Declined, Semi-Tarrasch"
'Gunsberg  Isidor A', 'Steinitz  Wilhelm', '1891.01.05', '47', '23', 'White', '0', '0', '49', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '12', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Gunsberg  Isidor A', '1891.01.07', '79', '39', 'White', '0', '0', '50', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '13', 'D37', "Queen's Gambit Declined"
'Gunsberg  Isidor A', 'Steinitz  Wilhelm', '1891.01.10', '66', '33', 'Draw', '0', '0', '51', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '14', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Gunsberg  Isidor A', '1891.01.12', '77', '38', 'Draw', '0', '0', '52', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '15', 'E14', "Queen's Indian"
'Gunsberg  Isidor A', 'Steinitz  Wilhelm', '1891.01.15', '41', '20', 'White', '0', '0', '53', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '16', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Gunsberg  Isidor A', '1891.01.17', '112', '56', 'Draw', '0', '0', '54', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '17', 'D06', "Queen's Gambit Declined"
'Gunsberg  Isidor A', 'Steinitz  Wilhelm', '1891.01.21', '108', '54', 'Black', '0', '0', '55', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '18', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Gunsberg  Isidor A', '1891.01.22', '82', '41', 'Draw', '0', '0', '56', 'World Championship 3rd', 'New York, NY USA', '1890.12.09', '19', 'D40', "Queen's Gambit Declined, Semi-Tarrasch"
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1892.01.01', '61', '30', 'White', '0', '0', '57', 'World Championship 4th', 'Havana CUB', '1892.01.01', '1', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1892.01.03', '63', '31', 'Draw', '0', '0', '58', 'World Championship 4th', 'Havana CUB', '1892.01.01', '2', 'C65', 'Ruy Lopez, Berlin Defense'
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1892.01.05', '64', '32', 'Draw', '0', '0', '59', 'World Championship 4th', 'Havana CUB', '1892.01.01', '3', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1892.01.07', '55', '27', 'White', '0', '0', '60', 'World Championship 4th', 'Havana CUB', '1892.01.01', '4', 'C65', 'Ruy Lopez, Berlin Defense'
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1892.01.10', '109', '54', 'Draw', '0', '0', '61', 'World Championship 4th', 'Havana CUB', '1892.01.01', '5', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1892.01.12', '93', '46', 'White', '0', '0', '62', 'World Championship 4th', 'Havana CUB', '1892.01.01', '6', 'C59', 'Two Knights'
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1892.01.14', '55', '27', 'White', '0', '0', '63', 'World Championship 4th', 'Havana CUB', '1892.01.01', '7', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1892.01.16', '48', '24', 'Black', '0', '0', '64', 'World Championship 4th', 'Havana CUB', '1892.01.01', '8', 'C58', 'Two Knights'
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1892.01.19', '67', '33', 'Draw', '0', '0', '65', 'World Championship 4th', 'Havana CUB', '1892.01.01', '9', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1892.01.21', '60', '30', 'Black', '0', '0', '66', 'World Championship 4th', 'Havana CUB', '1892.01.01', '10', 'C58', 'Two Knights'
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1892.01.24', '90', '45', 'Black', '0', '0', '67', 'World Championship 4th', 'Havana CUB', '1892.01.01', '11', 'C62', 'Ruy Lopez, Old Steinitz Defense'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1892.01.26', '52', '26', 'Black', '0', '0', '68', 'World Championship 4th', 'Havana CUB', '1892.01.01', '12', 'C59', 'Two Knights'
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1892.01.31', '76', '38', 'Black', '0', '0', '69', 'World Championship 4th', 'Havana CUB', '1892.01.01', '13', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1892.02.02', '65', '32', 'White', '0', '0', '70', 'World Championship 4th', 'Havana CUB', '1892.01.01', '14', 'C65', 'Ruy Lopez, Berlin Defense'
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1892.02.04', '93', '46', 'White', '0', '0', '71', 'World Championship 4th', 'Havana CUB', '1892.01.01', '15', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1892.02.07', '75', '37', 'White', '0', '0', '72', 'World Championship 4th', 'Havana CUB', '1892.01.01', '16', 'C77', 'Ruy Lopez'
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1892.02.09', '77', '38', 'White', '0', '0', '73', 'World Championship 4th', 'Havana CUB', '1892.01.01', '17', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1892.02.14', '77', '38', 'White', '0', '0', '74', 'World Championship 4th', 'Havana CUB', '1892.01.01', '18', 'A85', 'Dutch, with c4 & Nc3'
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1892.02.16', '63', '31', 'White', '0', '0', '75', 'World Championship 4th', 'Havana CUB', '1892.01.01', '19', 'C45', 'Scotch Game'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1892.02.18', '81', '40', 'White', '0', '0', '76', 'World Championship 4th', 'Havana CUB', '1892.01.01', '20', 'D37', "Queen's Gambit Declined"
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1892.02.23', '93', '46', 'Draw', '0', '0', '77', 'World Championship 4th', 'Havana CUB', '1892.01.01', '21', 'C25', 'Vienna'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1892.02.25', '97', '48', 'White', '0', '0', '78', 'World Championship 4th', 'Havana CUB', '1892.01.01', '22', 'D55', "Queen's Gambit Declined"
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1892.02.28', '64', '32', 'Black', '0', '0', '79', 'World Championship 4th', 'Havana CUB', '1892.01.01', '23', 'C34', "King's Gambit Accepted"
'Lasker  Emanuel', 'Steinitz  Wilhelm', '1894.03.15', '119', '59', 'White', '0', '0', '80', 'World Championship 5th', 'USA/CAN', '1894.03.15', '1', 'C62', 'Ruy Lopez, Old Steinitz Defense'
'Steinitz  Wilhelm', 'Lasker  Emanuel', '1894.03.19', '83', '41', 'White', '0', '0', '81', 'World Championship 5th', 'USA/CAN', '1894.03.15', '2', 'C65', 'Ruy Lopez, Berlin Defense'
'Lasker  Emanuel', 'Steinitz  Wilhelm', '1894.03.21', '103', '51', 'White', '0', '0', '82', 'World Championship 5th', 'USA/CAN', '1894.03.15', '3', 'C62', 'Ruy Lopez, Old Steinitz Defense'
'Steinitz  Wilhelm', 'Lasker  Emanuel', '1894.03.23', '119', '59', 'White', '0', '0', '83', 'World Championship 5th', 'USA/CAN', '1894.03.15', '4', 'C54', 'Giuoco Piano'
'Lasker  Emanuel', 'Steinitz  Wilhelm', '1894.03.27', '99', '49', 'Draw', '0', '0', '84', 'World Championship 5th', 'USA/CAN', '1894.03.15', '5', 'C62', 'Ruy Lopez, Old Steinitz Defense'
'Steinitz  Wilhelm', 'Lasker  Emanuel', '1894.03.29', '142', '71', 'Draw', '0', '0', '85', 'World Championship 5th', 'USA/CAN', '1894.03.15', '6', 'C54', 'Giuoco Piano'
'Lasker  Emanuel', 'Steinitz  Wilhelm', '1894.04.03', '91', '45', 'White', '0', '0', '86', 'World Championship 5th', 'USA/CAN', '1894.03.15', '7', 'C62', 'Ruy Lopez, Old Steinitz Defense'
'Steinitz  Wilhelm', 'Lasker  Emanuel', '1894.04.05', '152', '76', 'Black', '0', '0', '87', 'World Championship 5th', 'USA/CAN', '1894.03.15', '8', 'C10', 'French'
'Lasker  Emanuel', 'Steinitz  Wilhelm', '1894.04.14', '97', '48', 'White', '0', '0', '88', 'World Championship 5th', 'USA/CAN', '1894.03.15', '9', 'C62', 'Ruy Lopez, Old Steinitz Defense'
'Steinitz  Wilhelm', 'Lasker  Emanuel', '1894.04.19', '68', '34', 'Black', '0', '0', '89', 'World Championship 5th', 'USA/CAN', '1894.03.15', '10', 'D35', "Queen's Gambit Declined"
'Lasker  Emanuel', 'Steinitz  Wilhelm', '1894.04.21', '75', '37', 'White', '0', '0', '90', 'World Championship 5th', 'USA/CAN', '1894.03.15', '11', 'D40', "Queen's Gambit Declined, Semi-Tarrasch"
'Steinitz  Wilhelm', 'Lasker  Emanuel', '1894.05.03', '96', '48', 'Draw', '0', '0', '91', 'World Championship 5th', 'USA/CAN', '1894.03.15', '12', 'D60', "Queen's Gambit Declined, Orthodox Defense"
'Lasker  Emanuel', 'Steinitz  Wilhelm', '1894.05.05', '110', '55', 'Black', '0', '0', '92', 'World Championship 5th', 'USA/CAN', '1894.03.15', '13', 'C68', 'Ruy Lopez, Exchange'
'Steinitz  Wilhelm', 'Lasker  Emanuel', '1894.05.08', '91', '45', 'White', '0', '0', '93', 'World Championship 5th', 'USA/CAN', '1894.03.15', '14', 'D46', "Queen's Gambit Declined Semi-Slav"
'Lasker  Emanuel', 'Steinitz  Wilhelm', '1894.05.15', '87', '43', 'White', '0', '0', '94', 'World Championship 5th', 'USA/CAN', '1894.03.15', '15', 'D40', "Queen's Gambit Declined, Semi-Tarrasch"
'Steinitz  Wilhelm', 'Lasker  Emanuel', '1894.05.17', '108', '54', 'Black', '0', '0', '95', 'World Championship 5th', 'USA/CAN', '1894.03.15', '16', 'D60', "Queen's Gambit Declined, Orthodox Defense"
'Lasker  Emanuel', 'Steinitz  Wilhelm', '1894.05.19', '102', '51', 'Black', '0', '0', '96', 'World Championship 5th', 'USA/CAN', '1894.03.15', '17', 'C50', 'Giuoco Piano'
'Steinitz  Wilhelm', 'Lasker  Emanuel', '1894.05.22', '122', '61', 'Draw', '0', '0', '97', 'World Championship 5th', 'USA/CAN', '1894.03.15', '18', 'D67', "Queen's Gambit Declined, Orthodox Defense, Bd3 line"
'Lasker  Emanuel', 'Steinitz  Wilhelm', '1894.05.26', '103', '51', 'White', '0', '0', '98', 'World Championship 5th', 'USA/CAN', '1894.03.15', '19', 'D40', "Queen's Gambit Declined, Semi-Tarrasch"
'Marshall  Frank J', 'Lasker  Emanuel', '1907.01.26', '98', '49', 'Black', '0', '0', '99', 'World Championship 7th', 'USA', '1907.01.26', '1', 'C65', 'Ruy Lopez, Berlin Defense'
'Lasker  Emanuel', 'Marshall  Frank J', '1907.01.29', '103', '51', 'White', '0', '0', '100', 'World Championship 7th', 'USA', '1907.01.26', '2', 'C11', 'French'
'Marshall  Frank J', 'Lasker  Emanuel', '1907.01.31', '84', '42', 'Black', '0', '0', '101', 'World Championship 7th', 'USA', '1907.01.26', '3', 'D53', "Queen's Gambit Declined"
'Lasker  Emanuel', 'Marshall  Frank J', '1907.02.02', '80', '40', 'Draw', '0', '0', '102', 'World Championship 7th', 'USA', '1907.01.26', '4', 'C12', 'French, McCutcheon'
'Marshall  Frank J', 'Lasker  Emanuel', '1907.02.05', '82', '41', 'Draw', '0', '0', '103', 'World Championship 7th', 'USA', '1907.01.26', '5', 'D53', "Queen's Gambit Declined"
'Lasker  Emanuel', 'Marshall  Frank J', '1907.02.09', '42', '21', 'Draw', '0', '0', '104', 'World Championship 7th', 'USA', '1907.01.26', '6', 'C12', 'French, McCutcheon'
'Marshall  Frank J', 'Lasker  Emanuel', '1907.02.16', '97', '48', 'Draw', '0', '0', '105', 'World Championship 7th', 'USA', '1907.01.26', '7', 'D32', "Queen's Gambit Declined, Tarrasch"
'Lasker  Emanuel', 'Marshall  Frank J', '1907.02.19', '136', '68', 'White', '0', '0', '106', 'World Championship 7th', 'USA', '1907.01.26', '8', 'C12', 'French, McCutcheon'
'Marshall  Frank J', 'Lasker  Emanuel', '1907.03.02', '91', '45', 'Draw', '0', '0', '107', 'World Championship 7th', 'USA', '1907.01.26', '9', 'D32', "Queen's Gambit Declined, Tarrasch"
'Lasker  Emanuel', 'Marshall  Frank J', '1907.03.08', '95', '47', 'Draw', '0', '0', '108', 'World Championship 7th', 'USA', '1907.01.26', '10', 'C12', 'French, McCutcheon'
'Marshall  Frank J', 'Lasker  Emanuel', '1907.03.16', '101', '50', 'Draw', '0', '0', '109', 'World Championship 7th', 'USA', '1907.01.26', '11', 'A83', 'Dutch, Staunton Gambit'
'Lasker  Emanuel', 'Marshall  Frank J', '1907.03.19', '91', '45', 'White', '0', '0', '110', 'World Championship 7th', 'USA', '1907.01.26', '12', 'C11', 'French'
'Marshall  Frank J', 'Lasker  Emanuel', '1907.03.21', '116', '58', 'Black', '0', '0', '111', 'World Championship 7th', 'USA', '1907.01.26', '13', 'D07', "Queen's Gambit Declined, Chigorin Defense"
'Lasker  Emanuel', 'Marshall  Frank J', '1907.03.23', '41', '20', 'White', '0', '0', '112', 'World Championship 7th', 'USA', '1907.01.26', '14', 'C11', 'French'
'Marshall  Frank J', 'Lasker  Emanuel', '1907.04.06', '74', '37', 'Black', '0', '0', '113', 'World Championship 7th', 'USA', '1907.01.26', '15', 'D53', "Queen's Gambit Declined"
'Lasker  Emanuel', 'Tarrasch  Siegbert', '1908.08.17', '109', '54', 'White', '0', '0', '114', 'World Championship 8th', 'GER', '1908.08.17', '1', 'C68', 'Ruy Lopez, Exchange'
'Tarrasch  Siegbert', 'Lasker  Emanuel', '1908.08.19', '82', '41', 'Black', '0', '0', '115', 'World Championship 8th', 'GER', '1908.08.17', '2', 'C66', 'Ruy Lopez'
'Lasker  Emanuel', 'Tarrasch  Siegbert', '1908.08.22', '88', '44', 'Black', '0', '0', '116', 'World Championship 8th', 'GER', '1908.08.17', '3', 'C98', 'Ruy Lopez, Closed, Chigorin'
'Tarrasch  Siegbert', 'Lasker  Emanuel', '1908.08.24', '82', '41', 'Black', '0', '0', '117', 'World Championship 8th', 'GER', '1908.08.17', '4', 'C66', 'Ruy Lopez'
'Lasker  Emanuel', 'Tarrasch  Siegbert', '1908.09.01', '75', '37', 'White', '0', '0', '118', 'World Championship 8th', 'GER', '1908.08.17', '5', 'C98', 'Ruy Lopez, Closed, Chigorin'
'Tarrasch  Siegbert', 'Lasker  Emanuel', '1908.09.02', '106', '53', 'Draw', '0', '0', '119', 'World Championship 8th', 'GER', '1908.08.17', '6', 'C10', 'French'
'Lasker  Emanuel', 'Tarrasch  Siegbert', '1908.09.05', '151', '75', 'White', '0', '0', '120', 'World Championship 8th', 'GER', '1908.08.17', '7', 'C15', 'French, Winawer'
'Tarrasch  Siegbert', 'Lasker  Emanuel', '1908.09.09', '96', '48', 'Draw', '0', '0', '121', 'World Championship 8th', 'GER', '1908.08.17', '8', 'C67', 'Ruy Lopez'
'Lasker  Emanuel', 'Tarrasch  Siegbert', '1908.09.11', '143', '71', 'Draw', '0', '0', '122', 'World Championship 8th', 'GER', '1908.08.17', '9', 'C15', 'French, Winawer'
'Tarrasch  Siegbert', 'Lasker  Emanuel', '1908.09.14', '63', '31', 'White', '0', '0', '123', 'World Championship 8th', 'GER', '1908.08.17', '10', 'C67', 'Ruy Lopez'
'Lasker  Emanuel', 'Tarrasch  Siegbert', '1908.09.15', '55', '27', 'White', '0', '0', '124', 'World Championship 8th', 'GER', '1908.08.17', '11', 'C12', 'French, McCutcheon'
'Tarrasch  Siegbert', 'Lasker  Emanuel', '1908.09.16', '129', '64', 'White', '0', '0', '125', 'World Championship 8th', 'GER', '1908.08.17', '12', 'C49', 'Four Knights'
'Lasker  Emanuel', 'Tarrasch  Siegbert', '1908.09.23', '87', '43', 'White', '0', '0', '126', 'World Championship 8th', 'GER', '1908.08.17', '13', 'D40', "Queen's Gambit Declined, Semi-Tarrasch"
'Tarrasch  Siegbert', 'Lasker  Emanuel', '1908.09.24', '238', '119', 'Draw', '0', '0', '127', 'World Championship 8th', 'GER', '1908.08.17', '14', 'C67', 'Ruy Lopez'
'Lasker  Emanuel', 'Tarrasch  Siegbert', '1908.09.28', '102', '51', 'Draw', '0', '0', '128', 'World Championship 8th', 'GER', '1908.08.17', '15', 'D02', "Queen's Pawn Game"
'Tarrasch  Siegbert', 'Lasker  Emanuel', '1908.09.30', '52', '26', 'Black', '0', '0', '129', 'World Championship 8th', 'GER', '1908.08.17', '16', 'C49', 'Four Knights'
'Lasker  Emanuel', 'Janowski  Dawid M', '1909.10.19', '85', '42', 'Draw', '0', '0', '130', 'World Championship 9th', 'Paris FRA', '1909.10.19', '1', 'C87', 'Ruy Lopez'
'Janowski  Dawid M', 'Lasker  Emanuel', '1909.10.21', '64', '32', 'Black', '0', '0', '131', 'World Championship 9th', 'Paris FRA', '1909.10.19', '2', 'C49', 'Four Knights'
